Country Name,Country Code,adolescent_fertility,gdp_per_capita,female_labor_force_participation,female_life_expectancy,maternal_mortality,women_in_parliament,female_secondary_enrollment,female_tertiary_enrollment,female_unemployment,female_secondary_enrollment_norm,female_tertiary_enrollment_norm,female_labor_force_participation_norm,female_life_expectancy_norm,women_in_parliament_norm,female_unemployment_norm,maternal_mortality_norm,adolescent_fertility_norm,education_index,economic_participation_index,health_index,political_representation_index,womens_development_index
Czechia,CZE,5.979,31761.5944102491,53.241,82.9,3.0,26.0,98.0195083618164,76.8560104370117,3.039,0.6358393522085292,0.4418922480033222,0.6207466011214379,0.8443638108375566,0.42448979591836733,0.9288514702186479,0.9979838709677419,0.963957250710854,0.5388658001059257,0.7747990356700429,0.9354349775053842,0.42448979591836733,0.6683974022999299
Puerto Rico (US),PRI,14.076,36980.7884784287,36.29,85.243,11.0,25.04489795918365,112.479949951172,95.9290709290709,4.691,0.732358537560505,0.5548261917210194,0.4037432470491845,0.9146250037484629,0.40889629321116167,0.887333500879618,0.9899193548387096,0.9110304931856064,0.6435923646407622,0.6455383739644013,0.9385249505909262,0.40889629321116167,0.6591379956018127
North Macedonia,MKD,12.963,8674.35846327485,42.158,77.58,3.0,42.5,90.173713684082,64.9685974121094,11.453,0.5834709853053205,0.37150540924389697,0.4788642240827508,0.6848292200197917,0.6938775510204082,0.7173913043478262,0.9979838709677419,0.9183057162466909,0.4774881972746087,0.5981277642152885,0.8670396024114081,0.6938775510204082,0.6591332787304284
St. Kitts and Nevis,KNA,35.183,22576.9248439166,53.205,76.023,74.0,31.25,130.727762803234,60.20214459287705,5.473,0.8541573097524144,0.343282654188705,0.6202857362316613,0.6381383632710587,0.5102040816326531,0.8676803216888666,0.9264112903225806,0.7730627185671798,0.5987199819705598,0.7439830289602639,0.7792041240536064,0.5102040816326531,0.6580278041542708
Liechtenstein,LIE,1.718,206780.590353385,53.205,86.9,44.0,28.0,109.090911865234,36.329231262207,5.473,0.7097377072656446,0.20192818978138974,0.6202857362316613,0.9643146310012896,0.45714285714285713,0.8676803216888666,0.9566532258064516,0.9918096545412949,0.45583294852351713,0.7439830289602639,0.9709258371163454,0.45714285714285713,0.656971167935746
Dominica,DMA,34.138,9912.96212766668,53.205,74.545,36.0,37.5,96.3274307250977,60.20214459287705,5.473,0.6245452327282082,0.343282654188705,0.6202857362316613,0.5938165352205595,0.6122448979591837,0.8676803216888666,0.9647177419354839,0.7798934536065627,0.4839139434584566,0.7439830289602639,0.779475910254202,0.6122448979591837,0.6549044451580266
Viet Nam,VNM,34.277,4323.35031982451,69.215,79.264,48.0,30.2605210420842,90.5445572317873,36.0774676873689,1.511,0.5859462566790453,0.2004374666012913,0.8252425941572574,0.7353285153087232,0.4940493231360686,0.9672530786629806,0.9526209677419355,0.7789848677974964,0.3931918616401683,0.896247836410119,0.8223114502827183,0.4940493231360686,0.6514501178672685
San Marino,SMR,1.158,59879.7173015651,53.205,87.1,8.0,33.3333333333333,59.8075499629904,48.187134502924,5.473,0.38078579298159887,0.2721402974688043,0.6202857362316613,0.9703121720094758,0.5442176870748294,0.8676803216888666,0.9929435483870968,0.9954701441317776,0.3264630452252016,0.7439830289602639,0.9862419548427833,0.5442176870748294,0.6502264290257695
Armenia,ARM,13.445,8159.08720967996,51.517,81.0,19.0,35.5140186915888,88.2232017685754,63.8260087137715,13.155,0.5704518931883412,0.364740000629779,0.5986762936221419,0.7873871712597834,0.5798207133320621,0.6746167378738377,0.9818548387096774,0.915155080563454,0.46759594690906015,0.6366465157479898,0.8947990301776382,0.5798207133320621,0.6447155515416876
Nicaragua,NIC,93.452,2609.44492072931,50.728,77.418,60.0,51.6483516483517,70.6665573120117,35.6554985046387,4.828,0.4532664663124996,0.1979389350230532,0.5885756714545407,0.6799712118031608,0.8432383942588032,0.8838904247298316,0.9405241935483871,0.39218224008889757,0.3256027006677764,0.7362330480921861,0.6708925484801486,0.8432383942588032,0.6439916728747286
Cabo Verde,CPV,38.755,4794.90121917259,50.216,79.209,40.0,41.6666666666667,103.582593697222,29.9564459930314,11.316,0.6729713070868725,0.16419414215889697,0.5820211485777197,0.7336791915314721,0.680272108843538,0.7208343804976125,0.9606854838709677,0.7497140242507435,0.4185827246228847,0.651427764537666,0.8146928998843945,0.680272108843538,0.6412438744721207
Barbados,BRB,45.332,25583.878782727,61.146,78.615,35.0,26.6666666666667,104.055282592773,73.9003917179631,6.896,0.6761263661382566,0.42439166501052067,0.7219448498348567,0.7158664947371575,0.4353741496598645,0.8319175672279467,0.9657258064516129,0.7067228813282348,0.5502590155743886,0.7769312085314017,0.7961050608390017,0.4353741496598645,0.6396673586511641
Ethiopia,ETH,69.865,1055.81091592527,58.141,70.726,195.0,41.3135593220339,94.6070022583008,60.20214459287705,4.679,0.6130618798136043,0.343282654188705,0.6834754333410143,0.4792934896692355,0.6745070909719821,0.887635084192008,0.8044354838709677,0.5463607543223192,0.47817226700115467,0.7855552587665111,0.6100299092875076,0.6745070909719821,0.6370661315067888
Bulgaria,BGR,39.098,15853.208636704,51.029,79.7,6.0,24.1666666666667,94.6070022583008,91.7683181762695,4.217,0.6130618798136043,0.5301898614685274,0.5924290140051719,0.7484031547065703,0.39455782312925225,0.8992460417190249,0.9949596774193549,0.7474719743765729,0.5716258706410658,0.7458375278620983,0.830278268834166,0.39455782312925225,0.6355748726166456
